arch,input_shape,framework,hardware,mean,std
linknet_resnet18,"(1024, 1024)",pytorch,cpu,473.73,31.55
linknet_resnet18,"(1024, 1024)",pytorch,gpu,23.92,0.46
db_resnet34,"(1024, 1024)",pytorch,cpu,955.65,153.92
db_resnet34,"(1024, 1024)",pytorch,gpu,44.95,0.38
db_resnet50,"(1024, 1024)",pytorch,cpu,1257.69,112.12
db_resnet50,"(1024, 1024)",pytorch,gpu,65.11,0.3
db_mobilenet_v3_large,"(1024, 1024)",pytorch,cpu,576.56,27.48
db_mobilenet_v3_large,"(1024, 1024)",pytorch,gpu,40.48,0.75
linknet_resnet18,"(1024, 1024)",tensorflow,cpu,642.86,13.24
linknet_resnet18,"(1024, 1024)",tensorflow,gpu,31.62,1.56
db_resnet50,"(1024, 1024)",tensorflow,cpu,1251.3,138.18
db_resnet50,"(1024, 1024)",tensorflow,gpu,80.21,0.74
db_mobilenet_v3_large,"(1024, 1024)",tensorflow,cpu,1641.06,144.8
db_mobilenet_v3_large,"(1024, 1024)",tensorflow,gpu,179.02,3.4
