arch,input_shape,framework,hardware,mean,std
crnn_vgg16_bn,"(32, 128)",pytorch,cpu,687.93,93.79
crnn_vgg16_bn,"(32, 128)",pytorch,gpu,32.34,0.25
crnn_mobilenet_v3_small,"(32, 128)",pytorch,cpu,64.74,7.97
crnn_mobilenet_v3_small,"(32, 128)",pytorch,gpu,8.43,0.57
crnn_mobilenet_v3_large,"(32, 128)",pytorch,cpu,138.81,9.27
crnn_mobilenet_v3_large,"(32, 128)",pytorch,gpu,12.93,1.1
crnn_vgg16_bn,"(32, 128)",tensorflow,cpu,826.57,20.15
crnn_vgg16_bn,"(32, 128)",tensorflow,gpu,62.92,1.32
crnn_mobilenet_v3_small,"(32, 128)",tensorflow,cpu,901.53,5.14
crnn_mobilenet_v3_small,"(32, 128)",tensorflow,gpu,67.98,1.71
crnn_mobilenet_v3_large,"(32, 128)",tensorflow,cpu,1487.1,26.14
crnn_mobilenet_v3_large,"(32, 128)",tensorflow,gpu,75.67,1.34
